HRA1	HRA1	S000119380	C	cellular_component	GO:0005575	ncRNA_gene
HRA1	HRA1	S000119380	F	molecular_function	GO:0003674	ncRNA_gene
HRA1	HRA1	S000119380	P	rRNA processing	GO:0006364	ncRNA_gene
HRA1	HRA1	S000119380	P	ribosomal small subunit biogenesis	GO:0042274	ncRNA_gene
ICR1	ICR1	S000132612	C	nucleus	GO:0005634	ncRNA_gene
ICR1	ICR1	S000132612	F	molecular_function	GO:0003674	ncRNA_gene
ICR1	ICR1	S000132612	P	transcription from RNA polymerase II promoter	GO:0006366	ncRNA_gene
LSR1	LSR1	S000006478	C	nucleus	GO:0005634	snRNA_gene
LSR1	LSR1	S000006478	F	RNA binding	GO:0003723	snRNA_gene
LSR1	LSR1	S000006478	P	RNA splicing	GO:0008380	snRNA_gene
LSR1	LSR1	S000006478	P	mRNA processing	GO:0006397	snRNA_gene
NME1	NME1	S000007436	C	other		snoRNA_gene
NME1	NME1	S000007436	F	hydrolase activity	GO:0016787	snoRNA_gene
NME1	NME1	S000007436	F	nuclease activity	GO:0004518	snoRNA_gene
NME1	NME1	S000007436	P	mRNA processing	GO:0006397	snoRNA_gene
NME1	NME1	S000007436	P	rRNA processing	GO:0006364	snoRNA_gene
NME1	NME1	S000007436	P	regulation of cell cycle	GO:0051726	snoRNA_gene
PWR1	PWR1	S000132614	C	nucleus	GO:0005634	ncRNA_gene
PWR1	PWR1	S000132614	F	molecular_function	GO:0003674	ncRNA_gene
PWR1	PWR1	S000132614	P	transcription from RNA polymerase II promoter	GO:0006366	ncRNA_gene
Q0010		S000007257	C	membrane	GO:0016020	ORF|Dubious
Q0010		S000007257	F	molecular_function	GO:0003674	ORF|Dubious
Q0010		S000007257	P	biological_process	GO:0008150	ORF|Dubious
Q0017		S000007258	C	cellular_component	GO:0005575	ORF|Dubious
Q0017		S000007258	F	molecular_function	GO:0003674	ORF|Dubious
Q0017		S000007258	P	biological_process	GO:0008150	ORF|Dubious
Q0020	15S_RRNA	S000007287	C	cytoplasm	GO:0005737	rRNA_gene
Q0020	15S_RRNA	S000007287	C	mitochondrion	GO:0005739	rRNA_gene
Q0020	15S_RRNA	S000007287	C	ribosome	GO:0005840	rRNA_gene
Q0020	15S_RRNA	S000007287	F	structural constituent of ribosome	GO:0003735	rRNA_gene
Q0020	15S_RRNA	S000007287	F	structural molecule activity	GO:0005198	rRNA_gene
Q0020	15S_RRNA	S000007287	P	mitochondrial translation	GO:0032543	rRNA_gene
Q0020	15S_RRNA	S000007287	P	mitochondrion organization	GO:0007005	rRNA_gene
Q0032		S000007259	C	membrane	GO:0016020	ORF|Dubious
Q0032		S000007259	F	molecular_function	GO:0003674	ORF|Dubious
Q0032		S000007259	P	biological_process	GO:0008150	ORF|Dubious
Q0045	COX1	S000007260	C	cytoplasm	GO:0005737	ORF|Verified
Q0045	COX1	S000007260	C	membrane	GO:0016020	ORF|Verified
Q0045	COX1	S000007260	C	mitochondrial envelope	GO:0005740	ORF|Verified
Q0045	COX1	S000007260	C	mitochondrion	GO:0005739	ORF|Verified
Q0045	COX1	S000007260	F	oxidoreductase activity	GO:0016491	ORF|Verified
Q0045	COX1	S000007260	F	transmembrane transporter activity	GO:0022857	ORF|Verified
Q0045	COX1	S000007260	P	cellular respiration	GO:0045333	ORF|Verified
Q0045	COX1	S000007260	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified
Q0045	COX1	S000007260	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified
Q0050	AI1	S000007261	C	cytoplasm	GO:0005737	ORF|Verified
Q0050	AI1	S000007261	C	mitochondrion	GO:0005739	ORF|Verified
Q0050	AI1	S000007261	F	nucleotidyltransferase activity	GO:0016779	ORF|Verified
Q0050	AI1	S000007261	F	transferase activity	GO:0016740	ORF|Verified
Q0050	AI1	S000007261	P	DNA recombination	GO:0006310	ORF|Verified
Q0050	AI1	S000007261	P	mRNA processing	GO:0006397	ORF|Verified
Q0055	AI2	S000007262	C	cytoplasm	GO:0005737	ORF|Verified
Q0055	AI2	S000007262	C	mitochondrion	GO:0005739	ORF|Verified
Q0055	AI2	S000007262	F	nucleotidyltransferase activity	GO:0016779	ORF|Verified
Q0055	AI2	S000007262	F	transferase activity	GO:0016740	ORF|Verified
Q0055	AI2	S000007262	P	DNA recombination	GO:0006310	ORF|Verified
Q0060	AI3	S000007263	C	cytoplasm	GO:0005737	ORF|Verified
Q0060	AI3	S000007263	C	mitochondrion	GO:0005739	ORF|Verified
Q0060	AI3	S000007263	F	hydrolase activity	GO:0016787	ORF|Verified
Q0060	AI3	S000007263	F	nuclease activity	GO:0004518	ORF|Verified
Q0060	AI3	S000007263	P	biological_process	GO:0008150	ORF|Verified
Q0065	AI4	S000007264	C	cytoplasm	GO:0005737	ORF|Verified
Q0065	AI4	S000007264	C	mitochondrion	GO:0005739	ORF|Verified
Q0065	AI4	S000007264	F	hydrolase activity	GO:0016787	ORF|Verified
Q0065	AI4	S000007264	F	nuclease activity	GO:0004518	ORF|Verified
Q0065	AI4	S000007264	P	DNA recombination	GO:0006310	ORF|Verified
Q0065	AI4	S000007264	P	RNA splicing	GO:0008380	ORF|Verified
Q0070	AI5_ALPHA	S000007265	C	cytoplasm	GO:0005737	ORF|Verified
Q0070	AI5_ALPHA	S000007265	C	mitochondrion	GO:0005739	ORF|Verified
Q0070	AI5_ALPHA	S000007265	F	hydrolase activity	GO:0016787	ORF|Verified
Q0070	AI5_ALPHA	S000007265	F	nuclease activity	GO:0004518	ORF|Verified
Q0070	AI5_ALPHA	S000007265	P	DNA recombination	GO:0006310	ORF|Verified
Q0075	AI5_BETA	S000007266	C	cytoplasm	GO:0005737	ORF|Uncharacterized
Q0075	AI5_BETA	S000007266	C	mitochondrion	GO:0005739	ORF|Uncharacterized
Q0075	AI5_BETA	S000007266	F	molecular_function	GO:0003674	ORF|Uncharacterized
Q0075	AI5_BETA	S000007266	P	biological_process	GO:0008150	ORF|Uncharacterized
Q0080	ATP8	S000007267	C	cytoplasm	GO:0005737	ORF|Verified
Q0080	ATP8	S000007267	C	membrane	GO:0016020	ORF|Verified
Q0080	ATP8	S000007267	C	mitochondrial envelope	GO:0005740	ORF|Verified
Q0080	ATP8	S000007267	C	mitochondrion	GO:0005739	ORF|Verified
Q0080	ATP8	S000007267	F	ATPase activity	GO:0016887	ORF|Verified
Q0080	ATP8	S000007267	F	hydrolase activity	GO:0016787	ORF|Verified
Q0080	ATP8	S000007267	F	transmembrane transporter activity	GO:0022857	ORF|Verified
Q0080	ATP8	S000007267	P	ion transport	GO:0006811	ORF|Verified
Q0080	ATP8	S000007267	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified
Q0080	ATP8	S000007267	P	transmembrane transport	GO:0055085	ORF|Verified
Q0085	ATP6	S000007268	C	cytoplasm	GO:0005737	ORF|Verified
Q0085	ATP6	S000007268	C	membrane	GO:0016020	ORF|Verified
Q0085	ATP6	S000007268	C	mitochondrial envelope	GO:0005740	ORF|Verified
Q0085	ATP6	S000007268	C	mitochondrion	GO:0005739	ORF|Verified
Q0085	ATP6	S000007268	F	ATPase activity	GO:0016887	ORF|Verified
Q0085	ATP6	S000007268	F	hydrolase activity	GO:0016787	ORF|Verified
Q0085	ATP6	S000007268	F	transmembrane transporter activity	GO:0022857	ORF|Verified
Q0085	ATP6	S000007268	P	ion transport	GO:0006811	ORF|Verified
Q0085	ATP6	S000007268	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified
Q0085	ATP6	S000007268	P	transmembrane transport	GO:0055085	ORF|Verified
Q0092		S000007269	C	cellular_component	GO:0005575	ORF|Dubious
Q0092		S000007269	F	molecular_function	GO:0003674	ORF|Dubious
Q0092		S000007269	P	biological_process	GO:0008150	ORF|Dubious
Q0105	COB	S000007270	C	cytoplasm	GO:0005737	ORF|Verified
Q0105	COB	S000007270	C	membrane	GO:0016020	ORF|Verified
Q0105	COB	S000007270	C	mitochondrial envelope	GO:0005740	ORF|Verified
Q0105	COB	S000007270	C	mitochondrion	GO:0005739	ORF|Verified
Q0105	COB	S000007270	F	oxidoreductase activity	GO:0016491	ORF|Verified
